codigo,aplicacion,instancia,ambienteSV,nombreSVHost,nombreSVOVM,ipV4
SI182,MODELO DE ORIENTACION VOCACIONAL Y OCUPACIONAL (MVO),N/A,PRODUCCIÓN,VSPDAPMVO01,VSPDAPMVO01,172.30.163.75
SQL Server 2014 RTM,SENA PRUEBAS,N/A,PREPRODUCCIÓN,VSPPAPSPRUSQL01,VSPPAPSPRUSQL01,172.29.35.120
N/A,SENA PRUEBAS,N/A,PREPRODUCCIÓN,PRU-MISENABD01,PRU-MISENABD01,172.29.35.195
N/A,SENA PRUEBAS,N/A,PREPRODUCCIÓN,VSPPAPCMSAPE01,VSPPAPCMSAPE01,172.29.33.195
SI182,MODELO DE ORIENTACION VOCACIONAL Y OCUPACIONAL (MVO),N/A,PRODUCCIÓN,VSPDAPMVO02,VSPDAPMVO02,172.30.163.76
SI182,MODELO DE ORIENTACION VOCACIONAL Y OCUPACIONAL (MVO),N/A,PRODUCCIÓN,VSPDAPMVO03,VSPDAPMVO03,172.30.163.77
SI182,MODELO DE ORIENTACION VOCACIONAL Y OCUPACIONAL (MVO),N/A,PRODUCCIÓN,VSPDAPMVO04,VSPDAPMVO04,172.30.163.78
SI174,MOVIL FELIZMENTE,N/A,PRODUCCIÓN,VSPDAPMFELIZ01,VSPDAPMFELIZ01,172.30.163.74
SI146,JASPER,N/A,PRODUCCIÓN,vspdapjas01,VSOBSLABORAL01,172.29.18.13
SI183,OFICINA VIRTUAL DE RADICACIÓN,N/A,PRODUCCIÓN,VSPDBDOVIRT01,VSPDBDOVIRT01,172.31.4.84
SI078,PORTAL PQRSD,N/A,PRODUCCIÓN,VSPDBDPQRS01,VSPDBDPQRS01,172.31.4.102
SI078,PORTAL PQRSD,N/A,PRODUCCIÓN,VSPDBDPQRS02,VSPDBDPQRS02,172.31.4.103
SI078,PORTAL PQRSD,N/A,PREPRODUCCIÓN,VSPPBDPQRS01,VSPPBDPQRS01,172.31.4.181
Por validar,REPOSITORIO DE CONTENIDOS,N/A,DESARROLLO,VSDEAPREPCON01,VSDEAPREPCON01,172.30.176.126
Por validar,REPOSITORIO DE CONTENIDOS,N/A,PREPRODUCCIÓN,VSPPAPREPCON01,VSPPAPREPCON01,172.30.164.145
Por validar,REPOSITORIO DE CONTENIDOS,N/A,PREPRODUCCIÓN,VSPPBDREPCON01,VSPPBDREPCON01,172.31.4.174
N/A,SENA PRUEBAS,N/A,PREPRODUCCIÓN,PRUBILINGSQL01,PRUBILINGSQL01,172.29.35.18
SI167,SENA SALUD360,N/A,PRODUCCIÓN,VSPDBDSAL3601,VSPDBDSAL3601,172.29.11.46
SI167,SENA SALUD360,N/A,PRODUCCIÓN,VSPDFSSAL3601,VSPDFSSAL3601,172.29.13.181
SI168,SENASOFT,N/A,PREPRODUCCIÓN,VSPPAPSESOFT01,VSPPAPSESOFT01,172.29.33.199
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),N/A,PREPRODUCCIÓN,VSPPAPSMA01,VSPPAPSMA01,172.30.164.130
SI014,SERVICIO MÉDICO ASISTENCIAL (SMA),N/A,PRODUCCIÓN,VSPDAPSMA01,VSPDAPSMA01,172.30.163.147
