nombreAppCMDB,nombreAppEventos,nombrAppLB
SISTEMA EMPRESARIAL DE PROYECTOS (SEP),SISTEMA EMPRESARIAL DE PROYECTOS -SEP,SISTEMA EMPRESARIAL DE PROYECTOS (SEP)
SISTEMA FINANCIERO INTEGRADO FINANZAS 2000 (SFI),SIS FINAN INTEGRADO - FINANZAS 2000 CONSULTA HISTORICA - SFI,SISTEMA FINANCIERO INTEGRADO FINANZAS 2000 (SFI)
SISTEMA FONDO NACIONAL DE VIVIENDA DEL SENA,SISTEMA FONDO NACIONAL DE VIVIENDA DEL SENA,SISTEMA FONDO NACIONAL DE VIVIENDA DEL SENA
SISTEMA INTEGRADO DE GESTIÓN DE PROYECTOS (SIGP),SISTEMA INTEGRADO DE GESTION DE PROYECTOS - SIGP,SISTEMA INTEGRADO DE GESTIÓN DE PROYECTOS (SIGP)
SISTEMA NACIONAL DE PRODUCCIÓN DE CENTROS DE FORMACIÓN (SGARC),SIS NAL DE PRODUCCION DE CENTROS DE FORMACION - SGARC,SISTEMA NACIONAL DE PRODUCCIÓN DE CENTROS DE FORMACIÓN (SGARC)
SISTEMA NACIONAL DE PRODUCCIÓN DE CENTROS DE FORMACIÓN-PASARELA DE PAGOS-WOMPI BANCOLOMBIA,SIS NAL DE PROD DE C FORM - PASARELA DE PAGOS - WOMPI BANCOL,SISTEMA NACIONAL DE PRODUCCIÓN DE CENTROS DE FORMACIÓN-PASARELA DE PAGOS-WOMPI BANCOLOMBIA
SOFTWARE IDEA-CONTROL INTERNO,SOFTWARE IDEA - CONTROL INTERNO,SOFTWARE IDEA-CONTROL INTERNO
SOLUCIÓN ANALÍTICA DATOS ABIERTOS,SOLUCION ANALITICA DATOS ABIERTOS,SOLUCIÓN ANALÍTICA DATOS ABIERTOS
Validar,Validar,SONARQUBE (Herramienta CT)
SOPORTE DE AMBIENTE VIRTUAL DE APRENDIZAJE (SAVA),SOPORTE DE AMBIENTE VIRTUAL DE APRENDIZAJE - SAVA,SOPORTE DE AMBIENTE VIRTUAL DE APRENDIZAJE (SAVA)
SOPORTE Y MANTENIMIENTO DE APLICATIVOS - WIKI,SOPORTE Y MANTENIMIENTO DE APLICATIVOS - WIKI,SOPORTE Y MANTENIMIENTO DE APLICATIVOS - WIKI
Validar,Validar,SYSTEM CENTER COMMUNICATION MANAGER
Validar,Validar,SYSTEM CENTER CONFIGURATION MANAGER
Validar,Validar,TOTEMS
VISOR BLACKBOARD,VISOR BLACKBOARD - CONSULTA HISTORICA,VISOR BLACKBOARD
WORLDSKILLS,WORLDSKILLS,WORLDSKILLS
Validar,Validar,SISTEMA DE INFORMACIÓN DE LA RED TECNOPARQUE
SISTEMA DE INFORMACIÓN DE GESTIÓN VIRTUAL DE APRENDICES (SGVA),SIS DE INFO DE GESTION VIRTUAL DE APRENDICES -SGVA,SISTEMA DE INFORMACIÓN DE GESTIÓN VIRTUAL DE APRENDICES (SGVA)
Validar,SIREC - CERTIFICADOS EMPRESARIOS,Validar
SISTEMA DE LA DIRECCIÓN DE FORMACIÓN PARA EL TRABAJO (DSNFT),SISTEMA DE LA DIRECCION DE FORMACION PARA EL TRABAJO -DSNFT,SISTEMA DE LA DIRECCIÓN DE FORMACIÓN PARA EL TRABAJO (DSNFT)
